t,v,k,N,Source
4,2,24,46.0,Cyclotomy (Colbourn)
4,2,25,50.0,Cyclic (Colbourn-Keri)
4,2,26,51.0,simulated annealing (TJ-RT)
4,2,28,53.0,simulated annealing (TJ-RT)
4,2,30,56.0,simulated annealing (TJ-RT)
4,2,32,58.0,simulated annealing (TJ-RT)
4,2,33,61.0,simulated annealing (TJ-RT)
4,2,34,63.0,SBSTT (TJ-AG)
4,2,35,64.0,simulated annealing (TJ-RT)
4,2,37,65.0,simulated annealing (TJ-RT)
4,2,38,66.0,simulated annealing (TJ-RT)
4,2,67,67.0,Cyclotomy (Colbourn)
4,2,71,71.0,Cyclotomy (Colbourn)
4,2,72,78.0,SBSTT (TJ-AG)
4,2,79,79.0,Derive from strength 5
4,2,83,83.0,Cyclotomy (Colbourn)
4,2,89,87.0,Cyclotomy (Colbourn) postop NCK
4,2,90,92.0,SBSTT (TJ-AG)
4,2,97,94.0,SBSTT (TJ-AG)
4,2,101,98.0,SBSTT (TJ-AG)
4,2,107,102.0,SBSTT (TJ-AG)
4,2,109,105.0,SBSTT (TJ-AG)
4,2,111,106.0,SBSTT (TJ-AG)
4,2,113,107.0,SBSTT (TJ-AG)
4,2,114,109.0,SBSTT (TJ-AG)
4,2,120,110.0,Power CZ2-12.4-10.1
4,2,144,112.0,"Power CT12^2,c"
4,2,145,119.0,SBSTT (TJ-AG)
4,2,146,122.0,SBSTT (TJ-AG)
4,2,149,125.0,SBSTT (TJ-AG)
4,2,151,126.0,SBSTT (TJ-AG)
4,2,155,127.0,SBSTT (TJ-AG)
4,2,157,128.0,SBSTT (TJ-AG)
4,2,160,129.0,SBSTT (TJ-AG)
4,2,165,130.0,SBSTT (TJ-AG)
4,2,169,131.0,SBSTT (TJ-AG)
4,2,172,134.0,SBSTT (TJ-AG)
4,2,173,135.0,SBSTT (TJ-AG)
4,2,179,142.0,SBSTT (TJ-AG)
4,2,189,143.0,SBSTT (TJ-AG)
4,2,192,144.0,SBSTT (TJ-AG)
4,2,196,145.0,SBSTT (TJ-AG)
4,2,208,154.0,SBSTT (TJ-AG)
4,2,213,156.0,SBSTT (TJ-AG)
4,2,217,157.0,SBSTT (TJ-AG)
4,2,222,158.0,SBSTT (TJ-AG)
4,2,256,160.0,Power CZ2-16.5
4,2,268,161.0,SBSTT (TJ-AG)
4,2,272,162.0,Power CZ2-17.4-16.1
4,2,289,165.0,SBSTT (TJ-AG)
4,2,296,167.0,SBSTT (TJ-AG)
4,2,324,168.0,SBSTT (TJ-AG)
4,2,338,173.0,Torres-Jimenez
4,2,354,174.0,Torres-Jimenez
4,2,405,176.0,Power CZ3-9.8-5.1
4,2,486,180.0,Power CZ3-9.8-6.1
4,2,729,184.0,Power CZ3-9.9
4,2,792,188.0,Power CZ3-11.7-8.1-9.1
4,2,880,190.0,Power CZ3-11.7-8.1-10.1
4,2,968,192.0,Power CZ3-11.8-8.1
4,2,990,194.0,Power CZ3-11.7-9.1-10.1
4,2,1100,196.0,Power CZ3-11.7-10.1-10.1
4,2,1210,198.0,Power CZ3-11.8-10.1
4,2,1332,200.0,"Power CT11^3,+1c"
4,2,1368,216.0,Power CZ3-13.3-12.6
4,2,1476,224.0,Power CZ3-13.4-12.5
4,2,1596,233.0,Power CZ3-13.5-12.4
4,2,1728,242.0,Power CZ3-13.6-12.3
4,2,1872,251.0,Power CZ3-13.7-12.1-12.1
4,2,2028,260.0,Power CZ3-13.8-12.1
4,2,2304,263.0,Power CZ3-16.7-12.1-12.1
4,2,2496,271.0,Power CZ3-16.7-12.1-13.1
4,2,3395,272.0,Power CZ4-13.0-12.12-4.1
4,2,4248,276.0,Power CZ4-13.0-12.12-5.1
4,2,6781,280.0,Power CZ4-13.0-12.12-8.1
4,2,7625,284.0,Power CZ4-13.0-12.12-9.1
4,2,8466,286.0,Power CZ4-13.0-12.12-10.1
4,2,10000,288.0,Power CT13^4S13c
5,2,6,32.0,orthogonal array
5,2,7,42.0,Special (Yan Jun)
5,2,8,52.0,Steiner system (CKRS)
5,2,9,54.0,Steiner system (CKRS)
5,2,10,56.0,Steiner system (CKRS)
5,2,14,64.0,cross-sum (CKRS)
5,2,15,79.0,simulated annealing (Torres-Jimenez)
5,2,16,98.0,SBSTT (TJ-AG)
5,2,20,99.0,SBSTT (TJ-AG)
5,2,21,109.0,SBSTT (TJ-AG)
5,2,22,111.0,SBSTT (TJ-AG)
5,2,23,114.0,SBSTT (TJ-AG)
5,2,24,117.0,SBSTT (TJ-AG)
5,2,25,118.0,SBSTT (TJ-AG)
5,2,26,130.0,SBSTT (TJ-AG)
5,2,35,134.0,Cyclic (Colbourn-Keri)
5,2,68,136.0,Paley type (Colbourn)
5,2,72,144.0,Paley type (Colbourn)
5,2,80,159.0,SBSTT (TJ-AG)
5,2,84,168.0,Paley type (Colbourn)
5,2,90,178.0,Paley type (Colbourn)
5,2,98,194.0,Paley type (Colbourn)
