"family","t","v","k","N","Source","n","N_pred","domain","tier"
"Add n factors",5,10,843,4039655,"Add 11 factors",11,3724665,FALSE,"ARITH_OPEN"
"Add n factors",5,10,849,4237429,"Add 11 factors",11,3922439,FALSE,"ARITH_OPEN"
"Add n factors",5,10,7922,8049942,"Add 1 factors",1,8049942,TRUE,"ARITHMETIC"
"Add n factors",6,10,209,22531869,"Add 1 factors",1,22531869,TRUE,"ARITHMETIC"
"Add n factors",6,10,210,25780869,"Add 2 factors",2,25780869,TRUE,"ARITHMETIC"
"Add n factors",6,10,211,30557459,"Add 3 factors",3,28057869,FALSE,"ARITH_OPEN"
"Add n factors",6,10,213,31776963,"Add 5 factors",5,29857869,FALSE,"ARITH_OPEN"
"Add n factors",6,10,214,33037482,"Add 6 factors",6,29857869,FALSE,"ARITH_OPEN"
"Add n factors",6,10,215,34761659,"Add 11 factors",11,29827269,FALSE,"ARITH_OPEN"
"Add n factors",6,10,216,34766059,"Add 11 factors",11,29830869,FALSE,"ARITH_OPEN"
"Add n factors",6,10,217,34792679,"Add 11 factors",11,29848869,FALSE,"ARITH_OPEN"
"Add n factors",6,10,219,34805989,"Add 11 factors",11,29857869,FALSE,"ARITH_OPEN"
"Add n factors",6,10,220,41393899,"Add 11 factors",11,36445779,FALSE,"ARITH_OPEN"
"Add n factors",6,10,251,51104581,"Add 1 factors",1,51104581,TRUE,"ARITHMETIC"
"Add n factors",6,10,252,54353581,"Add 2 factors",2,54353581,TRUE,"ARITHMETIC"
"Add n factors",6,10,253,59473211,"Add 3 factors",3,56738581,FALSE,"ARITH_OPEN"
"Add n factors",6,10,530,94123858,"Add 1 factors",1,94123858,TRUE,"ARITHMETIC"
"Add n factors",6,10,2211,135860282,"Add 1 factors",1,135860282,TRUE,"ARITHMETIC"
"Add n factors",5,11,828,2287901,"Add 1 factors",1,2287901,TRUE,"ARITHMETIC"
"Add n factors",5,11,829,2700511,"Add 2 factors",2,2700511,TRUE,"ARITHMETIC"
"Add n factors",5,11,830,2846921,"Add 3 factors",3,2846921,TRUE,"ARITHMETIC"
"Add n factors",5,11,838,2993331,"Add 11 factors",11,2993331,TRUE,"ARITHMETIC"
"Add n factors",5,11,839,3672141,"Add 11 factors",11,3672141,TRUE,"ARITHMETIC"
"Add n factors",5,11,840,3896051,"Add 13 factors",13,2993331,FALSE,"ARITH_OPEN"
"Add n factors",5,11,841,4231161,"Add 11 factors",11,4231161,TRUE,"ARITHMETIC"
"Add n factors",5,11,849,4377571,"Add 11 factors",11,4377571,TRUE,"ARITHMETIC"
"Add n factors",5,11,1240,5506080,"Add 1 factors",1,5506080,TRUE,"ARITHMETIC"
"Add n factors",5,11,7922,8228560,"Add 1 factors",1,8228560,TRUE,"ARITHMETIC"
"Add n factors",6,11,209,23996071,"Add 1 factors",1,23996071,TRUE,"ARITHMETIC"
"Add n factors",6,11,210,29293451,"Add 2 factors",2,29293451,TRUE,"ARITHMETIC"
"Add n factors",6,11,211,33113421,"Add 3 factors",3,33113421,TRUE,"ARITHMETIC"
"Add n factors",6,11,212,34723931,"Add 4 factors",4,34723931,TRUE,"ARITHMETIC"
"Add n factors",6,11,215,36250181,"Add 11 factors",11,36250181,TRUE,"ARITHMETIC"
"Add n factors",6,11,219,36334441,"Add 11 factors",11,36334441,TRUE,"ARITHMETIC"
"Add n factors",6,11,251,52807783,"Add 1 factors",1,52807783,TRUE,"ARITHMETIC"
"Add n factors",6,11,252,58105163,"Add 2 factors",2,58105163,TRUE,"ARITHMETIC"
"Add n factors",6,11,329,73287650,"Add 1 factors",1,73287650,TRUE,"ARITHMETIC"
"Add n factors",6,11,2211,138494110,"Add 1 factors",1,138494110,TRUE,"ARITHMETIC"
"Add n factors",5,12,768,4496135,"Add 1 factors",1,4496135,TRUE,"ARITHMETIC"
"Add n factors",5,12,769,5180423,"Add 2 factors",2,5180423,TRUE,"ARITHMETIC"
"Add n factors",5,12,770,5408519,"Add 3 factors",3,5408519,TRUE,"ARITHMETIC"
"Add n factors",5,12,771,5717257,"Add 4 factors",4,5636615,FALSE,"ARITH_OPEN"
"Add n factors",5,12,772,5755372,"Add 5 factors",5,5636615,FALSE,"ARITH_OPEN"
"Add n factors",5,12,777,6241103,"Add 13 factors",13,5636459,FALSE,"ARITH_OPEN"
"Add n factors",5,12,780,6241259,"Add 13 factors",13,5636615,FALSE,"ARITH_OPEN"
"Add n factors",5,12,781,7395863,"Add 13 factors",13,6791219,FALSE,"ARITH_OPEN"
"Add n factors",5,12,782,8080151,"Add 13 factors",13,7475507,FALSE,"ARITH_OPEN"
"Add n factors",5,12,783,8308247,"Add 13 factors",13,7703603,FALSE,"ARITH_OPEN"
"Add n factors",5,12,784,8616985,"Add 13 factors",13,8012341,FALSE,"ARITH_OPEN"
"Add n factors",5,12,785,8655100,"Add 13 factors",13,8050456,FALSE,"ARITH_OPEN"
"Add n factors",5,12,786,9140831,"Add 13 factors",13,8536187,FALSE,"ARITH_OPEN"
"Add n factors",5,12,788,9142703,"Add 13 factors",13,8537771,FALSE,"ARITH_OPEN"
"Add n factors",5,12,789,9144575,"Add 13 factors",13,8537771,FALSE,"ARITH_OPEN"
"Add n factors",5,12,790,9146447,"Add 13 factors",13,8537771,FALSE,"ARITH_OPEN"
"Add n factors",5,12,793,9146603,"Add 13 factors",13,8537927,FALSE,"ARITH_OPEN"
"Add n factors",5,12,3723,15015306,"Add 1 factors",1,15015306,TRUE,"ARITHMETIC"
"Add n factors",6,12,251,62243123,"Add 1 factors",1,62243123,TRUE,"ARITHMETIC"
"Add n factors",6,12,252,73685939,"Add 2 factors",2,73685939,TRUE,"ARITHMETIC"
"Add n factors",6,12,253,80224691,"Add 3 factors",3,80224691,TRUE,"ARITHMETIC"
"Add n factors",6,12,255,88740837,"Add 5 factors",5,85698995,FALSE,"ARITH_OPEN"
"Add n factors",6,12,256,92536975,"Add 6 factors",6,85698995,FALSE,"ARITH_OPEN"
"Add n factors",6,12,263,97949447,"Add 13 factors",13,85698995,FALSE,"ARITH_OPEN"
"Add n factors",6,12,264,116771987,"Add 1 factors",1,116771987,TRUE,"ARITHMETIC"
"Add n factors",6,12,265,128214803,"Add 2 factors",2,128214803,TRUE,"ARITHMETIC"
"Add n factors",6,12,266,134757299,"Add 13 factors",13,122503103,FALSE,"ARITH_OPEN"
"Add n factors",6,12,268,143273445,"Add 13 factors",13,131019249,FALSE,"ARITH_OPEN"
"Add n factors",6,12,269,147069583,"Add 13 factors",13,134815387,FALSE,"ARITH_OPEN"
"Add n factors",6,12,626,254306140,"Add 1 factors",1,254306140,TRUE,"ARITHMETIC"
"Add n factors",5,13,768,4706377,"Add 1 factors",1,4706377,TRUE,"ARITHMETIC"
"Add n factors",5,13,769,5681845,"Add 2 factors",2,5681845,TRUE,"ARITHMETIC"
"Add n factors",5,13,770,6024577,"Add 3 factors",3,6024577,TRUE,"ARITHMETIC"
"Add n factors",5,13,777,6367153,"Add 13 factors",13,6367153,TRUE,"ARITHMETIC"
"Add n factors",5,13,780,6367309,"Add 13 factors",13,6367309,TRUE,"ARITHMETIC"
"Add n factors",5,13,781,7732153,"Add 13 factors",13,7732153,TRUE,"ARITHMETIC"
"Add n factors",5,13,782,8707621,"Add 13 factors",13,8707621,TRUE,"ARITHMETIC"
"Add n factors",5,13,783,9050353,"Add 13 factors",13,9050353,TRUE,"ARITHMETIC"
"Add n factors",5,13,786,9392929,"Add 13 factors",13,9392929,TRUE,"ARITHMETIC"
"Add n factors",5,13,788,9394801,"Add 13 factors",13,9394801,TRUE,"ARITHMETIC"
"Add n factors",5,13,789,9396673,"Add 13 factors",13,9394801,TRUE,"ARITH_ABOVE"
"Add n factors",5,13,790,9398545,"Add 13 factors",13,9394801,TRUE,"ARITH_ABOVE"
"Add n factors",5,13,793,9398701,"Add 13 factors",13,9394957,TRUE,"ARITH_ABOVE"
"Add n factors",5,13,1150,11632800,"Add 1 factors",1,11632800,TRUE,"ARITHMETIC"
"Add n factors",5,13,3723,15315420,"Add 1 factors",1,15315420,TRUE,"ARITHMETIC"
"Add n factors",6,13,251,65661973,"Add 1 factors",1,65661973,TRUE,"ARITHMETIC"
"Add n factors",6,13,252,82261153,"Add 2 factors",2,82261153,TRUE,"ARITHMETIC"
"Add n factors",6,13,253,92094925,"Add 3 factors",3,92094925,TRUE,"ARITHMETIC"
"Add n factors",6,13,254,96550441,"Add 4 factors",4,96550441,TRUE,"ARITHMETIC"
