"key","tier","family"
"2 15 32 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 33 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 34 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 36 Fix 5 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 37 Fix 5 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 38 Fix 5 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 15 7 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 15 8 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 15 9 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 15 10 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 15 11 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 15 12 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
