"family","t","v","k","N","Source","N_pred","tier"
"Add n factors",6,12,264,116771987,"Add 1 factors",116771987,"ARITHMETIC"
"Add n factors",6,12,265,128214803,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,12,266,134757299,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",6,12,268,143273445,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",6,12,269,147069583,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",6,12,626,254306140,"Add 1 factors",254306140,"ARITHMETIC"
"Add n factors",5,13,768,4706377,"Add 1 factors",4706377,"ARITHMETIC"
"Add n factors",5,13,769,5681845,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,770,6024577,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,777,6367153,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,780,6367309,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,781,7732153,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,782,8707621,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,783,9050353,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,786,9392929,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,788,9394801,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,789,9396673,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,790,9398545,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,793,9398701,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,13,1150,11632800,"Add 1 factors",11632800,"ARITHMETIC"
"Add n factors",5,13,3723,15315420,"Add 1 factors",15315420,"ARITHMETIC"
"Add n factors",6,13,251,65661973,"Add 1 factors",65661973,"ARITHMETIC"
"Add n factors",6,13,252,82261153,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,13,253,92094925,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,13,254,96550441,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,13,256,97769269,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",6,13,257,100975537,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",6,13,263,101005957,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",6,13,264,123251089,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",6,13,265,139850269,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",6,13,266,149974045,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",6,13,267,154455925,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,767,11492924,"Add 1 factors",11492924,"ARITHMETIC"
"Add n factors",5,14,768,13024272,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,769,14223190,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,770,14234561,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,771,14365810,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,782,16361772,"Add 16 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,783,17822636,"Add 17 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,852,22060739,"Add 1 factors",22060739,"ARITHMETIC"
"Add n factors",5,14,853,23592087,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,854,24791005,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,855,24802376,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,856,24933625,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,14,3126,36967070,"Add 1 factors",36967070,"ARITHMETIC"
"Add n factors",5,14,5330,41717174,"Add 1 factors",41717174,"ARITHMETIC"
"Add n factors",5,14,5331,43424334,"Add 2 factors",NA,"ARITH_OPEN"
