"call","N","k","v_min","v_max","nNA","status"
"productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(8, 7)[, 1:7], 7)",91,49,7,7,0,"ok"
"productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(10, 7)[, 1:9], 7)",103,63,7,7,0,"ok"
"productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(11, 7)[, 1:10], 7)",109,70,7,7,0,"ok"
"productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(10, 7)[, 1:9], 7)",115,81,7,7,0,"ok"
"productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(11, 7)[, 1:10], 7)",121,90,7,7,0,"ok"
"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(8, 7)[, 1:7], c1 = 7), 7)",133,343,7,7,0,"ok"
"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(10, 7)[, 1:9], c1 = 7), 7)",145,441,7,7,0,"ok"
"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], CS_CMMSSY(11, 7)[, 1:10], c1 = 7), 7)",151,490,7,7,0,"ok"
"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(10, 7)[, 1:9], c1 = 7), 7)",157,567,7,7,0,"ok"
"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(11, 7)[, 1:10],     c1 = 7), 7)",163,630,7,7,0,"ok"
"productCA(CS_CMMSSY(10, 7)[, 1:9], productCA(CS_CMMSSY(10, 7)[, 1:9], CS_CMMSSY(10, 7)[, 1:9], c1 = 7), 7)",169,729,7,7,0,"ok"
"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,     1:7], CS_CMMSSY(8, 7)[, 1:7], c1 = 7), c1 = 7), 7)",175,2401,7,7,0,"ok"
"productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[, 1:7], productCA(CS_CMMSSY(8, 7)[,     1:7], CS_CMMSSY(10, 7)[, 1:9], c1 = 7), c1 = 7), 7)",187,3087,7,7,0,"ok"
"SCA_LCDST(11, 8)",78,11,8,8,0,"ok"
"CS_CMMSSY(12, 8)",85,12,8,8,0,"ok"
