"family","t","v","k","N","Source","kind","N_pred","tier"
"Martirosyan-TVT",5,20,864,111742430,"Martirosyan-TVT","plain",111742430,"ARITHMETIC"
"Martirosyan-TVT",5,20,865,111863422,"Martirosyan-TVT variant","variant",111863422,"ARITHMETIC"
"Martirosyan-TVT",5,20,867,112009252,"Martirosyan-TVT variant","variant",112009252,"ARITHMETIC"
"Martirosyan-TVT",5,20,874,112057862,"Martirosyan-TVT","plain",112057862,"ARITHMETIC"
"Martirosyan-TVT",5,20,912,112137871,"Martirosyan-TVT","plain",112137871,"ARITHMETIC"
"Martirosyan-TVT",5,20,913,112283202,"Martirosyan-TVT variant","variant",112283202,"ARITHMETIC"
"Martirosyan-TVT",5,20,915,112429032,"Martirosyan-TVT variant","variant",112429032,"ARITHMETIC"
"Martirosyan-TVT",5,20,920,112477642,"Martirosyan-TVT","plain",112477642,"ARITHMETIC"
"Martirosyan-TVT",5,20,960,112557651,"Martirosyan-TVT","plain",112557651,"ARITHMETIC"
"Martirosyan-TVT",5,20,961,113474762,"Martirosyan-TVT variant","variant",113474762,"ARITHMETIC"
"Martirosyan-TVT",5,20,986,114495572,"Martirosyan-TVT","plain",114495572,"ARITHMETIC"
"Martirosyan-TVT",5,20,1001,114775390,"Martirosyan-TVT variant","variant",114775390,"ARITHMETIC"
"Martirosyan-TVT",5,20,1005,115504540,"Martirosyan-TVT variant","variant",115504540,"ARITHMETIC"
"Martirosyan-TVT",5,20,1012,115553150,"Martirosyan-TVT","plain",115553150,"ARITHMETIC"
"Martirosyan-TVT",5,20,1013,115553188,"Martirosyan-TVT variant","variant",115553188,"ARITHMETIC"
"Martirosyan-TVT",5,20,1018,115601798,"Martirosyan-TVT","plain",115601798,"ARITHMETIC"
"Martirosyan-TVT",5,20,1019,115622214,"Martirosyan-TVT variant","variant",115622214,"ARITHMETIC"
"Martirosyan-TVT",5,20,1025,115642630,"Martirosyan-TVT variant","variant",115642630,"ARITHMETIC"
"Martirosyan-TVT",5,20,1033,115691284,"Martirosyan-TVT variant","variant",115691284,"ARITHMETIC"
"Martirosyan-TVT",5,20,1037,115739938,"Martirosyan-TVT variant","variant",115739938,"ARITHMETIC"
"Martirosyan-TVT",5,20,1039,115788592,"Martirosyan-TVT variant","variant",115788592,"ARITHMETIC"
"Martirosyan-TVT",5,20,1041,115837246,"Martirosyan-TVT variant","variant",115837246,"ARITHMETIC"
"Martirosyan-TVT",5,20,1057,116372440,"Martirosyan-TVT variant","variant",116372440,"ARITHMETIC"
"Martirosyan-TVT",5,20,1058,116421094,"Martirosyan-TVT","plain",116421094,"ARITHMETIC"
"Martirosyan-TVT",5,20,1067,117045529,"Martirosyan-TVT variant","variant",117045529,"ARITHMETIC"
"Martirosyan-TVT",5,20,1104,117094183,"Martirosyan-TVT","plain",117094183,"ARITHMETIC"
"Martirosyan-TVT",5,20,1105,117316274,"Martirosyan-TVT variant","variant",117316274,"ARITHMETIC"
"Martirosyan-TVT",5,20,1106,117462236,"Martirosyan-TVT","plain",117462236,"ARITHMETIC"
"Martirosyan-TVT",5,20,1107,123992060,"Martirosyan-TVT variant","variant",123992060,"ARITHMETIC"
"Martirosyan-TVT",6,20,35,560386354,"Martirosyan-TVT variant","variant",560386354,"ARITHMETIC"
"Martirosyan-TVT",6,20,36,564544850,"Martirosyan-TVT","plain",564544850,"ARITHMETIC"
"Martirosyan-TVT",6,20,37,576133877,"Martirosyan-TVT variant","variant",576133877,"ARITHMETIC"
"Martirosyan-TVT",6,20,648,5407535000,"Martirosyan-TVT","plain",5407535000,"ARITHMETIC"
"Martirosyan-TVT",6,20,649,5412876140,"Martirosyan-TVT variant","variant",5412876140,"ARITHMETIC"
"Martirosyan-TVT",6,20,664,5422820708,"Martirosyan-TVT","plain",5422820708,"ARITHMETIC"
