"t","k","v","N_snapshot","N_built","verified","size_ok","note"
6,31,2,452,452,TRUE,TRUE,"EXECUTED"
3,104,6,624,624,TRUE,TRUE,"EXECUTED"
3,704,2,53,53,TRUE,TRUE,"EXECUTED"
2,11898,3,41,41,TRUE,TRUE,"EXECUTED"
6,32,2,461,461,TRUE,TRUE,"EXECUTED"
4,19,6,5422,5422,TRUE,TRUE,"EXECUTED"
3,14,20,9690,9690,TRUE,TRUE,"EXECUTED"
3,28,13,4225,4225,TRUE,TRUE,"EXECUTED"
4,144,2,112,112,TRUE,TRUE,"EXECUTED"
6,33,2,470,470,TRUE,TRUE,"EXECUTED"
4,145,2,119,119,TRUE,TRUE,"EXECUTED"
3,11,24,15180,15180,TRUE,TRUE,"EXECUTED"
4,20,6,5584,5584,TRUE,TRUE,"EXECUTED"
4,18,7,4795,4795,TRUE,TRUE,"EXECUTED"
4,146,2,122,122,TRUE,TRUE,"EXECUTED"
4,149,2,125,125,TRUE,TRUE,"EXECUTED"
6,34,2,479,479,TRUE,TRUE,"EXECUTED"
4,151,2,126,126,TRUE,TRUE,"EXECUTED"
3,47,10,2621,2621,TRUE,TRUE,"EXECUTED"
3,16,20,9880,9880,TRUE,TRUE,"EXECUTED"
4,21,6,5743,5743,TRUE,TRUE,"EXECUTED"
5,68,2,136,136,TRUE,TRUE,"EXECUTED"
3,122,6,726,726,TRUE,TRUE,"EXECUTED"
4,155,2,127,127,TRUE,TRUE,"EXECUTED"
4,157,2,128,128,TRUE,TRUE,"EXECUTED"
6,35,2,487,487,TRUE,TRUE,"EXECUTED"
3,50,10,2628,2628,TRUE,TRUE,"EXECUTED"
6,18,3,3839,3839,TRUE,TRUE,"EXECUTED"
3,20,19,6859,6859,TRUE,TRUE,"EXECUTED"
4,160,2,129,129,TRUE,TRUE,"EXECUTED"
4,5,18,104976,104976,TRUE,TRUE,"EXECUTED"
4,22,6,5895,5895,TRUE,TRUE,"EXECUTED"
3,128,6,762,762,FALSE,TRUE,"GAPS_FOUND"
2,1705,11,341,341,TRUE,TRUE,"EXECUTED"
5,6,10,1e+05,100000,TRUE,TRUE,"EXECUTED"
2,17895,3,42,42,TRUE,TRUE,"EXECUTED"
6,36,2,495,495,TRUE,TRUE,"EXECUTED"
4,165,2,130,130,TRUE,TRUE,"EXECUTED"
5,72,2,144,144,TRUE,TRUE,"EXECUTED"
2,1728,11,359,358,TRUE,TRUE,"EXECUTED"
3,968,2,54,54,TRUE,TRUE,"EXECUTED"
2,3927,7,175,175,TRUE,TRUE,"EXECUTED"
4,169,2,131,131,TRUE,TRUE,"EXECUTED"
4,23,6,6062,6062,TRUE,TRUE,"EXECUTED"
6,37,2,506,506,TRUE,TRUE,"EXECUTED"
4,172,2,134,134,TRUE,TRUE,"EXECUTED"
4,24,6,6176,6176,TRUE,TRUE,"EXECUTED"
5,21,4,4093,4093,TRUE,TRUE,"EXECUTED"
2,575,23,1035,1035,TRUE,TRUE,"EXECUTED"
6,38,2,512,512,TRUE,TRUE,"EXECUTED"
3,20,20,10070,10070,TRUE,TRUE,"EXECUTED"
2,576,23,1056,1056,TRUE,TRUE,"EXECUTED"
4,25,6,6325,6325,TRUE,TRUE,"EXECUTED"
4,12,11,14641,14641,TRUE,TRUE,"EXECUTED"
6,39,2,518,518,TRUE,TRUE,"EXECUTED"
3,152,6,906,906,TRUE,TRUE,"EXECUTED"
5,80,2,159,159,TRUE,TRUE,"EXECUTED"
4,26,6,6456,6456,TRUE,TRUE,"EXECUTED"
4,5,20,160000,160000,TRUE,TRUE,"EXECUTED"
6,40,2,527,527,TRUE,TRUE,"EXECUTED"
5,9,8,32768,32768,TRUE,TRUE,"EXECUTED"
4,27,6,6606,6606,TRUE,TRUE,"EXECUTED"
3,164,6,978,978,TRUE,TRUE,"EXECUTED"
6,41,2,534,534,TRUE,TRUE,"EXECUTED"
4,20,8,8184,8184,TRUE,TRUE,"EXECUTED"
5,84,2,168,168,TRUE,TRUE,"EXECUTED"
3,1331,2,55,55,TRUE,TRUE,"EXECUTED"
2,675,25,1225,1225,TRUE,TRUE,"EXECUTED"
3,170,6,1020,1020,TRUE,TRUE,"EXECUTED"
2,676,25,1248,1248,TRUE,TRUE,"EXECUTED"
4,28,6,6714,6714,TRUE,TRUE,"EXECUTED"
6,42,2,541,541,TRUE,TRUE,"EXECUTED"
3,1332,2,59,59,TRUE,TRUE,"EXECUTED"
4,5,21,194481,194481,TRUE,TRUE,"EXECUTED"
3,34,16,7936,7936,TRUE,TRUE,"EXECUTED"
4,100,3,645,645,TRUE,TRUE,"EXECUTED"
6,43,2,553,553,TRUE,TRUE,"EXECUTED"
3,1452,2,61,61,TRUE,TRUE,"EXECUTED"
5,90,2,178,178,TRUE,TRUE,"EXECUTED"
